No.,Name of the Organization,District of HQs/Physical Address,GEOGRAPHICAL AREA OF COVERAGE,KEY ACTIVITIES/OBJECTIVES,REG NUMBER,PERMIT NUMBER
21,ABIGALI FOUNDATION,,WAKISO,"TO ESTABLISH A SCHOOL,HOME,DAY CARE CENTER AND REHABILITATION CENTER FOR CHILDR",INDP0005578NB,INDP162935578NB
22,ABILITY BEYOND THE IRIS,"MBARARA , BOMA , P. O BOX 1093, MBARARA",MBARARA,TO ALLEVIATE POVERY,INDR142971994NB,INDP0001994NB
23,ABSTINENCE HOPE INTERNATIONAL UGANDA,WAKISO; KIREKA PLOT 34A KAMULI ROAD,COUNTRYWIDE,TO ENCOURAGE HIV TESTS,INDR90643124NB,INDP85853124NB
24,ABUBAKER KAWALYA FOUNDATION,KAMPALA; LUBAGA DIVISION P.O.BOX 21782 KAMPALA,KAMPALA,"SUPPORTING AND EMPOWERING VULNERABLE GROUPS SUCH AS THE YOUTH,WOMEN,PWDS,AND ELD",INDR155494660NB,INDP0004660NB
25,ABUNDANT BLESSING MINISTRIES,"KAMPALA; KITEBI VILLAGE,RUBAGA DIVISION.",COUNTRY WIDE,"TO SUPPORT NEEDY CHILDREN,MINISTER WITHIN COMMUNITIES,PROMOTE LIVELIHOODS,BUILD",FORR156864827NB,FORP0004827NB
26,ABUNDANT LIFE CAMP,"JINJA, PLOT 5 MADHIVAN ROAD, JINJA SOUTHERN DIVISION","JINJA, IGANGA, KAMULI, BUIKWE","TO SET UP AND MANAGE YOUTH TRAINING CAMPS, TO CHANGE LIVES OF STUDENTS THROUGH E",FORR163665641NB,FORP0005641NB
27,ABUNDANT LIFE CAMP LIMITED,"P.O.BOX 14077, MNGO",JINJA,"TO SET UP, ORGANIZE AND MANAGE STUDENT/ YOUTH TRAINING CAMPS",FORP0005641NB,FORR163665641NB
28,ABUNDANT LIFE FAITH CHURCH OF UGANDA/CANADA,ENTEBBE ROAD SEGUKU HILL,"WAKISO, KAMPALA",TO PROMOTE EVANGELISM,FORR572983NB,FORP1302983NB
29,ABUNDANT LIFE MENTORSHIP MIISTRY,"P.O. BOX 1964, JINJA",JINJA,TO PROMOTE EVANGELISM,FORR147533233NB,INDP0003233NB
30,ACACIA EDUCATION SERVICES,"KAMPALA DISTRICT,PLOT 1222 ZZIMWE RD KISUGU.",KAMPALA,TO PROMOTE EDUCATION AND INSPIREING SERVANTS LEADERS FOR CHRIST,FORR143262362NB,FORP0002362NB
31,ACCESS CENTRE UGANDA,AGAGO; PLOT 31 RWOT MATAYO LAMOT ROAD; P.O. BOX 6909 KAMPALA,AGAGO,ADVOCACY FOR HUMAN RIGHTS AND VOCATIONAL TRAINING,INDR127134474NB,INDP123384474NB
32,ACCESS FOR ALL,"KAMPALA; MUNYONYO; P.O. BOX 27946, KAMPALA",COUNTRYWIDE,TO FOSTER AND PROMOTE DEVELOPMENT AND EMERGENCY NEEDS OF THE YOUTHS; TO UPLIFT H,REGR13742792NB,REGP000792NB
33,ACCESS YOUTH INITIATIVE UGANDA,"KIKUNYU, KALAMBA SUB- COUNTY, BUTAMBALA DISTRICT",BUTAMBALA,TO PROMOTE GENERAL WELFARE,INDR102993195NB,INDP98603195NB
34,ACET GHION DEVELOPMENT INITIATIVE,"KITGUM; LABONGO RD, LANGALANGA, CENTRAL DIV. KITGUM MUNICIPALITY",KITGUM,TO IMPROVE LIVELIHOOD AND ECONOMIC EMPOWERMENT,INDR159465308NB,INDP0005308NB
35,ACEU COMMUNITY EMPOWERMENT UGANDA,"BULIISA DISTRICT,NGWEDO SUBCOUNTY P.O. BOX 434, MASINDI",MASINDI,TO STREGTHEN GOOD GOVERNANCE AND MANAGEMENT OF ENVIRONMENT,INDR141372242NB,INDP0002242NB
36,ACHOLI CHILD AND FAMILY PROGRAMME,"GULU;PLOT 1/2, AWICH ROAD, AGWEE,P.O BOX 737 GULU MUNICIPALITY","GULU,KITGUM, AGAGO","CHILD PROTECTION,SENSITIZATION AND AWARENESS SPONSORSHIP",INDR90924183NB,INDP86224183NB
37,ACHOLI EDUCATION INITIATIVE,KORO PIDA 7KM GULU-KAMPALA ROAD,"GULU, AMURU, OMORO, NWOYA, KITGUM",TO PROMOTE EDUCATION,INDR47783387NB,INDP4453387NB
38,ACHOLI RELIGIOUS LEADERS PEACE INITIATIVE,"KORO PIDA, P.O. BOX 104,GULU",GULU,TO PROMOTE INCOME GENERATING ACTIVITIES,INDR108633089NB,INDP107803089NB
39,ACHOLI RENAISSANCE YOUTH ASSOCIATION,"P.O. BOX 345, KITGUM","KITGUM, AGAGO, PADER, AMURU, LAMWO, NWOYA",TO PREVENT THE SPREAD OF HIV/AIDS,INDR4653418NB,INDP4307418NB
40,ACM MINISTRIES,"P.O. BOX 28245, KAMPALA",KAMPALA,TO PROVIDE BASIC NEEDS,FORR66142828NB,FORP64762828NB
41,ACOSED FOUNDATION AFRICA,"YUMBE DISTRICT, P.O BOX 650025",YUMBE,"PROVIDE EDUCATION AND IDENTIFY OPPORTUNITIES FOR ALL VULNERABLE PEOPLE, ESTABLIS",INDR162695667NB,INDP0005667NB
42,ACROSS,"ARUA; CMS COMPOUND, JERICHO,MVARA MISSION,MVARA CENTRAL CELL,ODULUBA WARD,AYIVU",ARUA,CHRIST CENTRED APPROACH IN COMMUNITY TRANSFORMATION,INDR8055122NB,INDP6835122NB
43,ACT 4 AFRICA,MAYUGE; PLOT 575 KASUGU KATHY'S CENTRE MAYUGE T/COUNCIL; BOX 1317 MAYUGE,MAYUGE,"YOUTH EDUCATION, WOMEN EMPOWERMENT, LIVELIHOODS",INTR59235172NB,INTP60645172NB
44,ACT FOR CHILDREN UGANDA,KAMPALA;MAKINDYE MUBARAK 11 PARISH,KAMPALA,TO ENABLE VULNERABLE CHILDREN ACCESS LIVELIHOOD,FORR159505170NB,FORP0005170NB
45,ACT WITH VISION UGANDA,"GULU; VANGUARD VILLAGE, VANGUARD PARISH, PEACE DIVISION, GULU MUNICIPALITY; P.O.",GULU,"TO EMPOWER WOMEN AND VULNERABLE GROUPS THROUGH VOCATIONAL SKILLS, SCHOOL FEES, B",INDR151844073NB,INDP0004073NB
46,ACTION 4 HEALTH UGANDA,"WAKISO;PLOT 17,NAZZIBA RISE,LUBOWA P.O BOX KAMPALA",UGANDA,"EMPOWERING YOUNG PEOPLE, WOMEN OF COMMUNITIES BY ADDRESSING HEALTH, DEVELOPMENT",INDR1345302NB,INDP00002NB
47,ACTION AFRICA HELP UGANDA,"MOROTO; OJAKALA CLOSE,CIRCULAR RD SENIOR QUARTERS, BOMA NORTH,MOROTO MUNICIPAL C",MOROTO,DEVELOP AND IMPLIMENT INNOVATIVE ENTREPRENEURIAL AND SUSTAINABLE LIVELIHOOD PROG,INDR17234628NB,INDP15914628NB
48,ACTION AGAINST HUNGER,"EMBASY PLAZA, GGABA ROAD, KAMPALA",COUNTRYWIDE,TO FIGHT AGAINST HUNGER AND FAMINE,INTR191918NB,INTP0001918NB
49,ACTION AGAINST SICKLE CELL DISEASE,"KAMPALA DISTRICT,MUBS DISABILITY RESOURCE & LEARNING CENTRE NAKWA PLOT NO.21A PO",COUNTRYWIDE,TO BE A VOICE FOR THE SICKLE CELL VOICELESS PEOPLE,INDR145042344NB,INDDP0002344NB
50,ACTION AID INTERNATIONAL UGANDA,"P.O. BOX 676, KAMPALA, PLOT 2514/2515, GABA ROAD",COUNTRYWIDE,"TO SUPPORT PEOPLE TO ALLEVEVIATE POVERTY THROUGH AGRICULTURE, HEALTH, WATER SUPP",,
51,ACTION AND INTERNATIONAL UGANDA,"KAMPALA DISTRICT, PLOT 2514/2515, KANSANGA GGABA ROAD, DIPLOMATE MAKINDYE DIVISI",COUNTRYWIDE,TO SUPPORT PEOPLE TO ALLEVIATE POVERTY THROUGH AGRICULTURE,INDR502453NB,INDP322453NB
52,ACTION COALITION ON CLIMATE CHANGE,"PLOT 896, MAKERERE KAVULE, BOMBO-ROAD, KAMPALA",KAMPALA,TO ADVOCATE FOR SUSTAINABLE USE OF NATURAL RESOURCE,INDR78712918NB,INDP74112918NB
53,ACTION FOR CHILD SOCIAL AND ECONOMIC TRANSFORMATIO,"MUNTU INVESTMENT BUILDING PLOT 10 OJWINA ROAD LIRA DISTRICTP.O BOX 604, LIRA",COUNTRYWIDE,"TO CARRY OUT IT'S ACTIVITIES IN THE FIELDS OF PROMOTING AGRICULTURE, ECONOMIC DE",INDR149793745NB,INDP0003745NB
54,ACTION FOR CHILDREN,"KAMPALA AYANJARING ROAD P,O,BOX 37664 KLA",COUNTRYWIDE,"TO PROVIDE COUNSELLING SERVICES ,CHILDREN RIGHTS AND ADVOCACY",INDR24552649NB,INDP22542649NB
55,ACTION FOR CLIMATE CHANGE AND ENVIRONMENTAL CONSER,MASAKA; ELGIN STREET BEHIND FORMER BANK OF BARODA BUILDING,MASAKA,"NATURAL RESOURCE MANAGEMENT, RESEARCH AND ADVOCACY",INDR157274880NB,INDP0004880NB
56,ACTION FOR COMMUNITY DEVELOPMENT UGANDA LIMITED,"OBIER HEALTH CENTRE III ROAD, OBEIR KAMPALA VILLAGE, OBER PARISH OJWINA DIVISION",LIRA,"TO IMPROVE LIVELIHOODS AND FOOD SECURITY, PROMOTE ENVIRONMENTAL CONSERVATION, PR",INDR102403084NB,INDP98933084NB
57,ACTION FOR DEVELOPMENT,"KAMPALA DISTRICT,PLOT 623/624 LUTAAYA DRIVE BUKOTO P.O.BOX 16729 KAMPALA",COUNTRYWIDE,TO FOCUS ON UPLIGHTING ALL STARDARDS AND WELFARE OF WOMEN IN UGANDA,INDR1583394NB,INDP503394NB
58,ACTION FOR DISADVANTAGED PEOPLE,"P.O. BOX 30568, KAMPALA",COUNTRYWIDE,"TO SUPPORT THE DISADVANTAGED CHILDREN, WOMEN AND ORPHANS",INDR7174583NB,INDP6805583NB
59,ACTION FOR FUNDAMENTAL CHANGE AND DEVELOPMENT,"KAMPALA; PLOT 322, MUKALAZI ROAD BWAISE II KAWEMPE DIVISION",KAMPALA,TO PROMOTE EFFECTIVE YOUNG PEOPLE'S PARTICIPATION IN SOCIO-ECONOMIC DEVELOPMENT,INDR133133234NB,INDP130443234NB
60,ACTION FOR HOPE,"LIRA; OBOTE AVENUE MAIN STREET, NEAR REPRODUCTIVE HEALTH; P.O BOX 974 LIRA",LIRA,"FORMAL AND INFORMAL EDUCATION, SEXUAL REPRODUCTIVE AND MATERNAL HEALTH SERVICES",INDR153194379NB,INDP0004379NB
61,ACTION FOR REPRODUCTIVE HEALTH,NTUNGAMO; P.O. BOX 1808 KAMPALA,COUNTRYWIDE,CONTRIBUTING TO THE IMPROVEMENT OF MATERNAL AND REPRODUCTIVE HEALTH IN RURAL ARE,INDR87881045NB,INDP82171045NB
62,ACTION FOR SAFE LIVELIHOOD,MUKONO; KIYUNGA VILLAGE KABEMBE PARISH KYAMPISI SC; P.O. BOX 22190 KAMPALA,MUKONO,"SUPPORT ACCESS TO FORMAL AND INFORMAL EDUCATION, ENVIRONMENTAL CONSERVATION, FOO",INDR153324321NB,INDP0004321NB
63,ACTION FOR TOORO- RWENZORI VULNERABLE PEOPLE- UGAN,"KAMPALA DISTRICT,NTINDA NAKAWA DIVISION, KIWATULE ROAD",KAMPALA,TO OFFER EDUCATIONAL SUPPORT TO ORPHANS AND VULNERABLE CHILDREN,INDR143482109NB,INDP0002109NB
64,ACTION FOR UNITY AND DEVELOPMENT FOUNDATION,"LUWERO , ALONG KASANDA MAIN ROAD, LUWERO TRADING CENTRE LUSOLO VILLAGE ,KASANDA",COUNTRYWIDE,TO HELP AND IMPROVE LIVE OF THE DISADVANTAGED AND VULNERABLE CHILDERN THROUGH PR,INDR129462899NB,INDP126022899NB
65,ACTION FOR WOMEN AND AWAKENING IN RURAL ENVIRONMEN,"P.O.BOX 77, KOTIDO",COUNTRYWIDE,TO ASSIST RURAL URBAN DWELLERS TO ENGAGE IN GAINFULL EMPLOYMENT PROGRAMMES ON OR,,
66,ACTION FOR WOMEN AND AWAKENING IN RURAL ENVIRONMEN,"SCHOOLS LANE ROAD, KABONG TOWN COUNCIL, KABONG DISTRICT",COUNTRYWIDE,TO SUPPORT VULNERABLE PERSONS,,
67,ACTION FOR YOUTH DEVELOPMENT UGANDA,"MBARARA; PLOT 1-4, BISHOP STRETCHER RD, BOMA GROUNDS; BOX 1424 MBARARA",MABARARA,"LIFE SKILLS DEVELOPMENT, LEADERSHIP SKILLS TRAINING, PUBLICATIONS, ADVOCACY",INDR161565415NB,INDP0005415NB
68,ACTION FOR YOUTH DISABILITIES UGANDA,"KAMPALA DISTRICT, PLLOT 23 BLOCK B , NTINDA MINISTERS' VILLAGE , P.O. BOX 5018,",COUNTRYWIDE,TO PROMOTE THE RIGHTS OF YOUTHS WITH DISABILITIES,INDR76692158NB,INDP73662158NB
69,ACTION GROUP FOR HEALTH HUMAN RIGHTS AND HIV/AIDS,"KAMPALA; NTINDA KALINABIRI RD, PLOT 703 NAIGA CLOSE; P.O. BOX 24667 KAMPALA",COUNTRYWIDE,"EDUCATION, ADVOCACY AND PUBLICITY FOR HUMAN RIGHTS; RESEARCH AND HEALTH NETOWRKI",INDR53181743NB,INDP49521743NB
70,ACTION IN AFRICA,WAKISO; NAKUWADDE VILLAGE BUSIRO EAST DIVISION; P.O. BOX 37011 KAMPALA,WAKISO,ACCESS TO EDUCATION AND COMMUNITY DEVELOPMENT,INTR130214493NB,INTP127464493NB
71,ACTION INTERNATIONAL MINISTRIES UGANDA,"GULU DISTRICT, LAYIBI DIVISION, TECHO PARISH LAYIBI SUB WARD P.O. BOX 656, GULU",KAMPALA& GULU,TO PREACH THE GOSPEL OF JESUS CHRIST,INDR52262310NB,INDP48362310NB
72,ACTION ON DISABILITY AND DEVELOPMENT/UK,KAMPALA; MUG ONE HOUSE PLOT 32 KANJOKYA STREET KAMWOKYA; BOX 9658 KAMPALA,KAMPALA,"CAPACITY BUILDING OF DISABLED PEOPLE'S ORGANISATIONS, POLICY ENGAGEMENT",INTR4263910NB,INTP2033910NB
73,ACTION ON WOMEN FOUNDATION,"KAMPALA DISTRICT, NAKAWA DIVISION PLOT 398 ARK BUILDING BLOCK GAYAZA ROAD",KAMPALA,TO ENCOURAGE THE PEOPLE TO PROTECT THE ENVIRONMENT,INDR150003631NB,INDP0003631NB
74,ACTION PACEM UGANDA,KAMPALA; P.O. BOX 33681 KAMPALA,ARUA,CONFLICT RESOLUTION AND ADOVCACY OF CULTURES AND INDIGENUOS TRIBES; CARPENTRY AN,REGR132991714NB,REGP130811714NB
75,ACTION TO POSITIVE CHANGE ON PEOPLE WITH DISABILIT,"KAMPALA DISTRICT, MULAGO KATAALE ZONE, KAWEMPE, P.O. BOX 12303, KAMPALA",KAMPALA,TO ASSIST DISABLED CHILDREN PROMOTE THEIR WELFARE,INDR12832512NB,INDP11692512NB
76,ACTIVE YOUTH AFRICA,KAMPALA; NAGURU SUMMIT VIEW HILL 9/11 NAGURU SUMMIT VIEW ROAD; P.O. BOX,COUNTRYWIDE,SUPPORTING MEDICAL ACCESS TO MENTAL CARE VICTIMS AND DRUG ADDICTS; STRENGTHEN TH,INDR145752037NB,INDP0002037NB
77,ACTS 101,KAMPALA,COUNTRYWIDE,,,
78,ACTS 4 UGANDA MINISTRIES,"BUIKWE; PLOT 733 KASUBI-KYANJA VILLAGE, LUGAZI MUNICIPALITY; 26083 KAMPALA",BUIKWE,TO BUILD AND EMBRACE SUSTAINABLE PROGRAMS IN AREAS OF FARMING AND AGRICULTURE,INDR123362948NB,INDP120302948NB
79,ACTS INTERNATIONAL,"BULAMBULI; CHEPTUI BWIKHONGE, P.O. BOX 744 MBALE",COUNTRYWIDE,"INCREASING LITERACY RATES AMONG VULNERABLE COMMUNITIES, INCOME GENERATING ACTIVI",INDR103392723NB,INDP99842722NB
80,ADARA DEVELOPMENT UGANDA,NAKASEKE; KIWOKO HOSPITAL GROUNDS; P.O. BOX 116 LUWERO,LUWERO & NAKASONGOLA,TO REDUCE CHILD AND INFANT MORTALITY AND MOBILITY AND PROMOTING MATERNAL HEALTH,FORR97802184NB,FORP92782184NB
81,ADDARAIN CHARITY ORGANISATION,,COUNTRYWIDE,,INDR151163982NB,INDP0003982NB
82,ADELANTE AFRICA TUGENDE OMUMAISO,"IGAYAZA LINK TO BYPASS;IGAYAZA TOWN COUNCIL,KAKUMIRO DISTRICT",KAKUMIRO,OFFER SUPPORT TO VULNERABLE CHILDREN IN THE COMMUNITY,INDR157904936NB,INDP0004936NB
83,ADEPR PENTECOSTAL CHURCH INTERNATIONAL-UGANDA,KAMPALA; KIZITO LC I NAJJANANKUMBI II PARISH RUBAGA DIVISION; P.O. BOX 34285 KAM,COUNTRYWIDE,VOCATIONAL CENTRES AND CHURCH CONSTRUCTION; REPRODUCTIVE HEALTH AND ENVIRONEMENT,REGR142901849NB,REGP0001849NB
84,ADINA MINISTRIES RUBUGURI,KISORO; HIGABIRO WARD RUBUGURI T/COUNCIL; BOX 15 KABALE,KISORO,"PROMOTE LIVELIHOOD PROJECTS, WOMEN AND YOUTH SKILLING, PREACHING THE GOSPEL",FORR161395346NB,FORP0005346NB
85,ADJUMAN E BURHANI,,COUNTRYWIDE,,FORR129803866NB,FORP126943866NB
86,ADOL HEALTHCARE INITIATIVE,"OMOJONG HOUSE, KIRU-LIRA HIGHWAY, KIRU TOWN COUNCIL ABIM DISTRICT","KARAMOJA, ABIM",TO EMPOWER THE VULNERABLE WOMEN AND YOUTH,INDR31353155NB,INDP29063155NB
87,ADONAI FAMILY -UGANDA,"WAKISO DISTRICT, NSAGGU WARD, SSISA SUB-COUNTY, KAJJANSI TOWN COUNCIL,",WAKISO,TO SET UP HOMES FOR ORPHANED AND DISADVANTAGED CHILDREN,INDR83592390NB,INDP78682390NB
88,ADORATION WORSHIP CENTRE,JINJA; KAINOGOGA VILL. MAFUBIRA S/C NORTHERN DIVISION,JINJA,TO PROMOTE EVANGELISM,INDR159575201NB,INDP0005201NB
89,ADORO CHILDREN CHARITY & EDNAM FOUNDATION,,COUNTRYWIDE,,,
90,ADVANCE AFRIKA,"WAKISO DISTRICT,PLOT 4258 SUNDAY CLOSE MULAWA KIIIRA MUNICIPALITY",WAKISO,VULNERABLE YOUTH TO PROMOTE ECONOMIC DEVELOPMENT,INDR127333382NB,
91,ADVANCING COMMUNITY RESILIENCE INITIATIVE,MAYUGE; ; BUTTE BAITAMBOGWE,MAYUGE,"PROMOTE HUMANITARIAN INTERVENTIONS, COMMUNITY EMPOWERMENT AND CAPACITY BUILDING",INDR158505033NB,INDP0005033NB
92,ADVANCING MINISTRIES OF THE GOSPEL INTERNATIONAL,"PLOT 84, MAKERERE RD GADDAFI ROAD","KAMPALA, WAKISO",TO PROMOTE EVANGELISM,INDR17633199NB,INDP16533199NB
93,ADVOCACY CENTRE FOR CHILD AND FAMILY SAFETY AND PR,"FORT PORTAL PO BOX 186,FORTPORTAL",KABAROLE,TO PROVIDE EDUCATION AND SAFETY FOR FAMILIES AND CHILDREN,INDR13664621NB,INDP000621NB
94,ADVOCACY COALITION FOR SUSTAINABLE AGRICULTURE,"P. O. BOX 14125,KAMPALA UGANDA",KAMPALA,TO PROMOTE SUSTAINABLE AGRICULTURE,INDR149023552NB,INDP0003552NB
95,ADVOCACY FOR SUSTAINABLE LAND USE AND MANAGEMENT,"NAKASEKE DISTRICT,MIJUMWA PARISH,WAKYATO SUBCOUTY KANYALE VILLAGE",COUNTRYWIDE,"ADVOCATING FOR PROTECTION,RESTORATION AND PROMOTING SUSTAINABLE USE OF TERRESTIA",INDR149453652NB,INDP0003652NB
96,ADVOCACY FOR YOUTH EMPOWERMENT AND DEVELOPMENT,TORORO; TORORO MUNICIPALITY; P.O. BOX 734 UGANDA,TORORO,"TO FACILITATE YOUTH ECONOMIC EMPOWERMENT FOR SUSTAINABLE DEVELOPMENT IN UGANDA,",INDR152044138NB,INDP0004138NB
97,ADVOCATES COALITION FOR DEVELOPMENT AND ENVIRONMEN,"KAMPALA; PLOT 96-98, KANJOKYA STREET KAMWOKYA; P.O. BOX 29836 KAMPALA",COUNTRYWIDE,"ENVIRONMENTAL STABILITY, NATIONAL DEVELOPMENT AND RESEARCH",INDR29641417NB,INDP27731417NB
98,ADVOCATES FOR GIRL CHILD WOMEN DEVELOPMENT,"MUKONO; KAASANGALABI VILLAGE LC I, GULU WARD MUKONO CENTRAL DIVISION; P.O. BOX 9",MUKONO,SKILLS DEVELOPMENT FOR WOMEN AND OUT OF SCHOOL GIRLS; REDUCING THE RATE OF GIRL,INDR136501814NB,INDP0001814NB
99,ADVOCATES FOR NATIONAL RESOURCES AND DEVELOPMENT,28946 KAMPALA,KARAMOJA SUB REGION,SERVE AS A THINK TANK FOR POLICY DIALOGUES ON NATURAL RESOURSES MANAGEMENT,INDR139541214,INDR13541214
100,ADVOCATES FOR NATURAL RESOURCES AND DEVELOPMENT,KAMPALA; LILIES LEAF CHAMBERS PLOT 2B3 KYAMBOGO DRIVE OFF MARTRYS WAY MINISTERS,COUNTRYWIDE,ACT AS A THINK TANK FOR POLICY DAILOGUES ON NATURAL RESOURCES; PROMOTE UNDERSTAN,INDR139541214NB,INDP0001214NB
101,ADVOCATES FOR PUBLIC SPACES,KAMPALA; PLOT 2 LUTHULI LANE BUGOLOBI; P.O. BOX 70331 KAMPALA,KAMPALA,TO PROMOTE AND PROTECT PUBLIC SPACES IN URBAN AREAS; CONTRIBUTE TO SOCIAL COHES,INDR137601202NB,INDP0001202NB
102,ADVOCATES FOR WATER AND ENVIRONMENT CONSERVATION,"KABALE; PLOT 52 JOHNSTON ROAD, MAKANGA-KABALE MUNICIPAL COUNCIL; P.O. BOX 357 KA",COUNTRYWIDE,"PROMOTING WATER, HYGIENE AND SANITATION; ENVIRONMENTAL RESTORATION AND MANAGEMEN",INDR114061418NB,INDP109571418NB
103,AEGY FOUNDATION,"KAMULI; BUNANGWE CELL, MUWEBWA WARD KAMULI MUNICIPALITY; BOX 130016 KAMULI",KAMULI,"PROMOTE YOUTH PARTICPATION, CHILD PROTECTION, SUPPORT OVCS FOR SELF SUSTAINABILI",INDR158755048NB,INDP0005048NB
